subject,recognised_manipulation,deepfake_check_recoded,deepfake_concept_check_recoded
9e3b01fb-de36-4136-a7fd-a2758b44d84b,No,No,NA
9f95f902-1d9e-417a-8060-924d8099dc70,Yes,Yes,NA
a0b4b96f-5102-4141-97aa-92cc745bf5ab,No,No,NA
a13467f0-9910-4c14-b4f9-87c57fb0a03b,No,No,NA
a24c0e99-8782-4fd6-8c30-23228735ded7,No,No,NA
a2c56e83-a8ed-4458-88a1-aa675a64e285,No,No,NA
a3f97ac9-1577-4a9d-9235-f4127d012f17,NA,NA,NA
a4ae81f1-740e-4a1a-8f61-90d3ac93719f,No,No,NA
a4e3ffd2-8630-4550-b2f5-a837575823c8,NA,NA,NA
a57f4640-a73c-470f-924c-84c827380763,No,No,NA
a5f2bc97-b8e6-434a-b845-6f404ab00c9a,NA,NA,NA
a62d41f3-010a-437b-96fa-fb666d2e64ba,Yes,Yes,NA
a730ebf1-eb0e-46ec-b902-c2880c6e6d3b,NA,NA,NA
a7710896-f28c-4f5c-a386-ce77a7d2e12d,Yes,Yes,NA
a804643e-01f7-4a43-b4ec-17299ea57e76,NA,NA,NA
a94b6de9-50e0-4932-adc7-cb7e87f7e21a,No,No,NA
a9c72270-b807-4bd4-8755-327825fea72f,NA,NA,NA
a9ee913a-23a9-454a-902b-7257c0e2144a,Yes,Yes,NA
aa0e33f4-0380-4892-b315-2615003b6a3a,NA,NA,NA
aa8505c6-2e19-4b96-aa5a-e71948806876,No,No,NA
ab418f32-5005-4030-ac87-f8bb85bebcf6,No,No,NA
ab92a2d7-b95e-48bc-9245-1b65a32d3c4d,NA,NA,NA
ac550185-c31a-45af-bea8-1306ed7051a1,NA,NA,NA
acbc0ed5-02ec-48c5-aa0d-2400a7b1bf47,NA,NA,NA
ace21174-9d0f-46fe-97b6-0fef91a6e464,NA,NA,NA
ad48cba2-cbd0-488a-a24f-2b5d021a52e1,Yes,No,NA
adf04a67-b758-4bbb-a3e2-7395a75d3689,No,No,NA
ae02e2e6-ec73-4df6-9dbf-0d4c9787302a,NA,NA,NA
aeb6ff6b-f1c0-49e9-8638-fb030079134e,No,No,NA
af849195-c771-4cc5-bb62-d10cc90eb98c,Yes,Yes,NA
aff1b2cb-4c4a-4e08-b3bd-86ea7beb449b,NA,NA,NA
b04acdd2-1791-481c-858d-b63e4ebb69d7,Yes,Yes,NA
b0849c69-fb33-4fdf-a61a-7138315a12ed,Yes,No,NA
b134cb2e-dfa2-4e84-aabf-087b08c080b8,NA,NA,NA
b1c8355d-c58a-4d48-9233-86a12c4d004f,No,No,NA
b2a1fe34-865f-4743-b2c6-c8385398bf11,No,No,NA
b2c7024c-14fb-4ab5-9c07-f4f9daed4f82,NA,NA,NA
b3445594-2a5c-48b5-af02-95fe8f8993d2,NA,NA,NA
b34ba7fd-12c2-4c83-89f9-d30dc4854e71,Yes,Yes,NA
b3858920-d0da-4991-b407-dfded493649a,NA,NA,NA
b47716da-2156-46c3-8ce9-114e4f4c765e,Yes,No,NA
b5ec7a0a-785b-41d5-8676-8126c3aa698a,Yes,Yes,NA
b600dc75-68d9-42e5-9ddb-970196cbd30b,Yes,No,NA
b631544d-51ee-4f8b-a32e-f8a2ba54c435,Yes,No,NA
b6712094-56c5-41fd-bc1d-3754623712d8,NA,NA,NA
b70931ae-7356-4084-b226-4a8ea98a467a,NA,NA,NA
b71b05b6-26c9-4a02-bc07-9eb1c73b8506,No,No,NA
b7627424-dba0-4c54-bd73-4c16b11e84a3,NA,NA,NA
b82b28ea-0480-49db-9ded-eeb1621a4555,Yes,No,NA
b9a979e6-3b59-435e-9daf-fa9ad9e3f043,No,No,NA
b9ccd995-ada0-4502-b627-bcccb85377ce,No,No,NA
b9e333c3-c504-4950-8a39-2d5a6afc5551,NA,NA,NA
ba2bb637-7717-4db2-a00c-7be9e293bd27,Yes,Yes,NA
bbca152f-4e92-4411-8a2c-d8556442bdf6,NA,NA,NA
bbfd50db-26e6-44fe-9228-f9aeda135f80,NA,NA,NA
bc4daaba-6298-486c-9f2b-0c07de68eec2,NA,NA,NA
bd0371c4-2a0d-4d7f-98dc-b99a63ad67c3,NA,NA,NA
be74721d-e41b-4870-9b92-daef7b12b485,No,No,NA
bf729c92-03a4-4918-93b0-a7854f0a6e6d,No,No,NA
bf7c7f62-8518-4782-90e6-593822bf8c03,NA,NA,NA
bf7ca497-9c0c-43e8-a63e-e1e00952aa4f,No,No,NA
c1c506b8-c780-4ed8-9701-ab81f5f87047,No,No,NA
c2ec2118-9ba7-4a07-9448-a6db2b7c9308,No,No,NA
c3eb78fe-13eb-4321-91a0-fe07a0ab6a74,No,No,NA
c523f819-08aa-4ed0-8446-4e556dff2017,No,No,NA
c5d89824-75f4-4857-8d40-f77f2663c3dd,NA,NA,NA
c6261ae0-c233-4cbc-9484-964cab91b2c9,No,No,NA
c6b051d0-2a90-4dae-9ef0-87631be416ff,NA,NA,NA
c78ce715-e504-482f-b09b-23b5db749e27,NA,NA,NA
c817e618-6dac-46be-88db-89e91123a645,No,No,NA
c84a2ddf-ba9d-4fb6-ac2d-97d4aa64dd08,NA,NA,NA
c8dfc5fd-a208-4a17-9624-209297ec1568,No,No,NA
c9ff8085-1a82-4930-9741-3a9d6386f6ca,Yes,No,NA
ca37c612-e147-44ff-83eb-2172bd7a5401,NA,NA,NA
ca6ed935-e297-46d3-ab8a-be7368720ab5,No,No,NA
cb9ff20b-9a06-406d-8611-e09b7b386481,NA,NA,NA
ccb06591-f3cd-4c25-891b-eceb859e6c9e,NA,NA,NA
cd109824-706d-4f8d-88f8-902e13671026,NA,NA,NA
cd379e4b-6759-4f34-a432-522a66d4642a,Yes,No,NA
cdcaed61-2021-4338-90e9-3cc6617ed783,Yes,No,NA
cdf308bc-2ca1-4ff3-bc6d-55ef73610704,No,No,NA
ce6dc65a-cef6-4302-8174-417483907a33,Yes,No,NA
ce7524aa-3b52-4036-bdc4-a820e8c01f80,Yes,No,NA
cf164bc7-8bf6-4229-abb3-a6fc4e615f5b,Yes,No,NA
cfdbea60-4065-4486-af14-852329773e6a,NA,NA,NA
d06f5d16-acf1-4e59-ae16-b88afa4c6012,Yes,No,NA
d0a79b29-872e-4c92-9350-3071e37be7ba,No,No,NA
d1ae9559-f705-4607-9764-59da0161f17b,NA,NA,NA
d2beb722-92f2-4cba-99ed-aabe87c98145,No,No,NA
d314522b-b996-4f70-8415-86d38444964d,Yes,Yes,NA
d32cdf40-981e-4657-a3c0-3745751489ef,NA,NA,NA
d404c52a-3aca-45b9-847f-bc3c49f8f256,No,No,NA
d4b74cc7-262b-4c3f-bcb1-8f94801dd9bc,Yes,No,NA
d515039e-f31f-4589-9e4d-370e766591b2,NA,NA,NA
d6ddd4a3-81c3-40b0-9e5e-8f1fe8da4861,No,No,NA
d868d062-cf3d-4864-977a-d4b80c580c22,NA,NA,NA
d909e0f9-119b-40ec-914e-cd37e3873509,Yes,Yes,NA
d9e812af-ea01-43d5-9b6f-490ca3d10272,NA,NA,NA
da8b6a9d-2f29-48d4-b9d8-bb6435747fbf,Yes,Yes,NA
dad02453-8d73-4fca-b958-06ef719de14e,No,No,NA
dc505c6e-0a81-4dcc-bf11-ba2ab7359746,NA,NA,NA
dc524528-fed2-4c56-a445-f6eae40b0585,NA,NA,NA
dccc22ad-7727-4469-b274-3a766c36d2c7,NA,NA,NA
dce56731-d508-424c-b4a1-21f735a9b4d8,NA,NA,NA
dcf30744-60a2-4aaa-a914-b210d1399669,NA,NA,NA
dcf8b8d9-2889-406c-b5b6-29630fa560dd,NA,NA,NA
de75a10c-3158-4d90-a477-1be276eab6fa,Yes,Yes,NA
dec0a8ff-3881-4582-823b-6822f38cee59,NA,NA,NA
df9a598a-f16d-4c9e-bd11-72e4753fd032,NA,NA,NA
e0268b4d-6db2-45ce-a4b7-aaea7379637f,NA,NA,NA
e0617552-f23f-4864-8fb0-edbf1a7fda06,NA,NA,NA
e0999935-ae45-42c9-99d9-c446323eadbb,NA,NA,NA
e1967fbd-dea0-4e78-8f90-4ddc085e8834,No,No,NA
e1bc35ee-7c3d-4b54-82f3-51a5b5f768ba,No,No,NA
e1e43c60-5c68-4502-9f91-d4f10000fbab,No,No,NA
e238f974-7001-440a-90f1-d1b52ae9e70b,NA,NA,NA
e256c99e-1df5-4582-ac50-e1dd79d6a75d,No,No,NA
e314ce29-8d0b-4170-8c5b-0800b03fb716,Yes,Yes,NA
