seed,effect_genuine_MAP,effect_genuine_95_CI_lower,effect_deepfaked_MAP,effect_deepfaked_95_CI_lower,effect_deepfaked_90_CI_lower,H1_genuine,H1_deepfaked,H2_noninferiority
770,2.60855877926473,2.37600809517114,2.6417400742639785,2.431324898867773,2.4650263119945293,1,1,1
771,2.4827941643603713,2.265304009623877,2.7180094884336334,2.5125127862612184,2.544333841381909,1,1,1
772,2.7101078689613236,2.5040239790408845,2.7258908794634484,2.515424263609389,2.5523151510855717,1,1,1
773,2.625746866524911,2.404333833936346,2.831061669892049,2.6072361394904293,2.6360246854930938,1,1,1
774,2.5611462551279205,2.356434833524917,2.573165481948572,2.3560391462522237,2.3958021542474874,1,1,1
775,2.5467490378695956,2.3295686656020664,2.587758659495667,2.3789944027456205,2.410908643560063,1,1,1
776,2.764665920297186,2.5370095433705897,2.9011585825969917,2.6775681752088967,2.706736144482478,1,1,1
777,2.7248894402514274,2.5165906068517234,2.7669758085160465,2.568560606892022,2.606808254535843,1,1,1
778,2.7118010236319945,2.4929654879975662,2.593604647756721,2.3851491311414788,2.4170168019947122,1,1,0
779,2.8140608665580817,2.6032239372409567,2.922884147755354,2.710407497916311,2.7491884990114537,1,1,1
780,2.8051484458115823,2.6053837565661584,2.9208101657166594,2.7070079522614465,2.7346244147913206,1,1,1
781,2.8324169370979453,2.623792145644293,2.9708072706030215,2.7477791016048116,2.7733350701560893,1,1,1
782,2.758035304267858,2.556188523973181,2.8505452848022608,2.6523350318431627,2.6836156770231745,1,1,1
783,2.7027507387900314,2.491845423166622,2.979938970319997,2.7622584048992063,2.7884138975883888,1,1,1
784,2.788665634811668,2.582411929106375,2.858165763641775,2.646837711303649,2.6736701693151503,1,1,1
785,2.539998544452677,2.3217623196557318,2.745314679899907,2.5522708533821943,2.583285754273834,1,1,1
786,2.8920745236205345,2.681480682113589,2.747547218718574,2.5443762417631275,2.5793338663589664,1,1,0
787,2.8446068096255934,2.6401086054324643,2.730982641719095,2.531253185157753,2.5657148911326493,1,1,0
788,2.739734408932649,2.5317728248408544,2.8891288689076826,2.671996281520314,2.709653072012513,1,1,1
789,2.667191408366371,2.450866029075359,2.6726262127767573,2.4449038236865994,2.4818508126166474,1,1,1
790,2.8322235516056735,2.620229797372227,3.0028532998296114,2.7768422437425486,2.818607283478992,1,1,1
791,2.684344663738945,2.46597222303372,2.8264336506436787,2.620844446756198,2.6530240126255835,1,1,1
792,2.6751493021352646,2.4669249101121773,2.8665788488434845,2.6658945949753887,2.6923996351662765,1,1,1
793,2.5669186769845727,2.3486983015463796,2.62536773663643,2.4263334955913565,2.463876025608662,1,1,1
794,2.7890960910533,2.5950306683363276,2.8391206276750207,2.6235914304906296,2.6602362063516463,1,1,1
795,2.6902157741396184,2.479694637447801,2.7441817187270474,2.5384683942678006,2.5691307186044314,1,1,1
796,2.6578150371438674,2.45400781677238,2.694779835920166,2.4905594339578165,2.523611094936968,1,1,1
797,2.5523372703361913,2.3302693639367424,2.6752970262889573,2.4857972792033816,2.511152914637052,1,1,1
798,2.8640492822439643,2.6629421676281226,2.9785146910696065,2.7626443335322866,2.7929230546768284,1,1,1
799,2.6169390460896857,2.392231075886483,2.6588568295998734,2.4477206311641604,2.48767915915117,1,1,1
800,2.585390953018765,2.376594557497162,2.7741128538767077,2.5894503903420567,2.613790991971336,1,1,1
801,2.618330820898692,2.4193532843031993,2.7391837693466785,2.535915471627881,2.565495885614249,1,1,1
802,2.771000461875011,2.5526736355611903,2.8684314536942814,2.6532383761914584,2.6930573683451176,1,1,1
803,2.7274685503337937,2.5152276621676855,2.703194248814181,2.4900901252617476,2.5237257985060664,1,1,1
804,2.6912361212653786,2.4629336835710323,2.6428667055307336,2.4161411364220786,2.451810002431411,1,1,0
805,2.5768238842317777,2.371942788340685,2.6210989956153594,2.40954150089883,2.4449690735164147,1,1,1
806,2.649543030414788,2.423991982293989,2.775516218189061,2.567354347956394,2.594090303780099,1,1,1
807,2.815092428968769,2.602365677707769,2.763523230695236,2.557777482268852,2.593311730780557,1,1,0
808,2.654826784754921,2.4398094744696337,2.6162621653757068,2.4003050514977375,2.4340071632604996,1,1,0
809,2.5789676024918586,2.3634110688908563,2.828330716929192,2.612636369595137,2.643963619742547,1,1,1
810,2.76397480820592,2.54010973611431,2.866532828723672,2.658283050935378,2.687596682389857,1,1,1
811,2.6924270021499757,2.4725340881454114,2.8457451712612776,2.639129625872137,2.669143079839102,1,1,1
812,2.4689862051436626,2.2507534819108175,2.618998767472231,2.419009366100454,2.460317809004825,1,1,1
813,2.746067590013843,2.5373155220584427,2.79688927978468,2.586205160245387,2.6198269372926326,1,1,1
814,2.6850327773035145,2.4558318309149154,2.8510019144314898,2.6396421216483654,2.6648793242049353,1,1,1
815,2.789343558414975,2.591370116159869,2.8550793470151263,2.669250355571423,2.700210536608848,1,1,1
816,2.6782983464626313,2.4566153926563774,2.72727121206146,2.5031532619910215,2.540163569058647,1,1,1
817,2.6351207920005923,2.4239690399497285,2.93250758584032,2.7208153690525347,2.754423555007662,1,1,1
818,2.999491904773716,2.7949559327440676,2.790675810021277,2.576374424607189,2.6109919306774447,1,1,0
819,2.6842652929063764,2.4928885685883713,2.801268851910905,2.591605299266646,2.628629466569205,1,1,1
820,2.576894726625098,2.358016714426004,2.8670463874923904,2.6466327992307463,2.681768717645481,1,1,1
821,2.8515009349223166,2.642778181470494,3.072170717285663,2.86103086939704,2.890214656714328,1,1,1
822,2.606341739326899,2.4217199236435087,2.974122770056168,2.771771056090721,2.8042878682692325,1,1,1
823,2.6875633013050164,2.460772051802719,2.757615243564106,2.531711860567259,2.5642936733383035,1,1,1
824,2.740718885946653,2.53074683827811,3.055864389098434,2.856071346269538,2.8957040192185355,1,1,1
825,2.9320243073849643,2.7078429350914752,2.877163759041707,2.6840502859203754,2.7193580914807503,1,1,1
826,2.719763829190974,2.4948478104354614,2.9028648824025876,2.684920371256311,2.7191486354526626,1,1,1
827,2.767113463168282,2.55494883420422,2.8001378498358562,2.5870149766059827,2.616565428563953,1,1,1
828,2.584203202122072,2.372259602710165,2.981769347399703,2.764559935187647,2.8004142818293927,1,1,1
829,2.584661348276614,2.3850569670749966,2.8867591250801334,2.6803925951163468,2.725232352968889,1,1,1
830,2.4822130569814,2.2722751892715407,2.800176605930041,2.5823038733971937,2.604480880639971,1,1,1
831,2.750020437668286,2.531217003468329,2.9788565945187244,2.7615956073223584,2.7948758088033276,1,1,1
832,2.707019352445329,2.5141027054382445,2.9482981823754346,2.7347859696021435,2.7721960784052695,1,1,1
833,2.6427031265643923,2.426706791379754,2.670856447813901,2.463150563208405,2.5054555688135496,1,1,1
834,2.596939182631583,2.3863457647722304,2.588553518759717,2.3882883355197406,2.425390879532004,1,1,1
835,2.6677614101869325,2.460694122643431,2.8949011389265324,2.6745770649424543,2.7067978268846415,1,1,1
836,2.6664090447961164,2.465629364128693,2.7336009490344084,2.5406859124195,2.561701585423254,1,1,1
837,2.853121620117494,2.6585520068289905,2.919694535052251,2.6899354684904844,2.7234822092007533,1,1,1
838,2.6774868340822033,2.4701607809158888,2.7878489494308947,2.5742909669513634,2.6045921465999293,1,1,1
839,2.741249891484148,2.53128547275146,2.8305634170730483,2.6041398270693663,2.6493481814801423,1,1,1
840,2.6577223038429456,2.454682987509247,2.7993425541365324,2.6029121687037353,2.6329798032553535,1,1,1
841,2.8026148935044706,2.568771168075204,2.8474796151637465,2.6085139382657223,2.6454284682397895,1,1,1
842,2.8021806408198637,2.5813721549030944,2.874438766580752,2.657056397792494,2.688758500224548,1,1,1
843,2.703000212398459,2.474549750772509,2.8100361141315116,2.607538500691858,2.638115209905327,1,1,1
844,2.653190673962077,2.4394153750176852,3.010454661165418,2.810178482510607,2.8550946128171355,1,1,1
845,2.5797010989533904,2.367998352849574,2.6366442998108073,2.42340599687632,2.4604387617614263,1,1,1
846,2.565985469798739,2.367818875035131,2.8284205430553366,2.623384955183529,2.6532042210516638,1,1,1
847,2.6365484306729225,2.437482797760493,2.751732115465682,2.548781976987755,2.5824670413080026,1,1,1
848,2.815740165623934,2.582134264418919,2.9033814023453606,2.6791003260880752,2.713137404562418,1,1,1
849,2.852813515108413,2.649751316435587,2.8882437492003037,2.6841180276402605,2.709428079074627,1,1,1
850,2.678965389352502,2.47003244224211,2.8058848488786583,2.5905166908073665,2.6227088271153423,1,1,1
851,2.760981661147714,2.557247853569005,2.7622361664617845,2.555656572328012,2.586406148840247,1,1,1
852,2.6403124839376857,2.426468721849098,2.7719815398780305,2.567360548485312,2.602358414109613,1,1,1
853,2.728482850303291,2.4918476606623923,3.03777127194297,2.8078883661314626,2.8390217264305817,1,1,1
854,2.572601395873615,2.3544033423939337,2.830509129136141,2.604711462906163,2.6436441316690282,1,1,1
855,2.688751960311128,2.463649588005226,2.908936770015487,2.690084327711419,2.726489223945163,1,1,1
856,2.679559176429427,2.46398975173637,2.894979736015665,2.683083836992545,2.7113127726273265,1,1,1
857,2.849959283777158,2.6468607558444184,2.884510021541638,2.6894649959989483,2.7192848044383306,1,1,1
858,2.63629126469373,2.435512633586069,2.7779112680417173,2.5646974942370226,2.5905710222700367,1,1,1
859,2.644696997879684,2.4553819556013314,2.804237803103526,2.5914673263116916,2.619992922223671,1,1,1
860,2.600397535937413,2.3987777681831486,2.8398264415117715,2.6507262604658037,2.671758607449797,1,1,1
861,2.720943375491499,2.5176296609127284,2.8715518678952865,2.6876404066860964,2.725114748793834,1,1,1
862,2.8278914448042025,2.6148305292298613,3.1190598727277004,2.889567835830605,2.940195905229453,1,1,1
863,2.6236089031012266,2.4311708015553664,2.7532697978494576,2.5436535845878736,2.5757583296970235,1,1,1
864,2.6590686586112473,2.457361538571695,2.5922013474836665,2.35821402448863,2.394257828369713,1,1,0
865,2.74103054056517,2.5283404797235978,2.689604389852613,2.4685817183043723,2.50822241116636,1,1,0
866,2.625611683422688,2.411026375578425,2.6660832774110794,2.4506756673947048,2.4782546301361417,1,1,1
867,2.7031430546693596,2.4804821933512327,2.695948545541703,2.4809660650609078,2.5132876693937876,1,1,1
868,2.767754696153666,2.531907003088577,2.6562118140668374,2.45137858960442,2.4824798566519393,1,1,0
869,2.6382619856877536,2.4318722319035198,2.772700985161758,2.5674512554856177,2.6034051281101536,1,1,1
870,2.6082852088701047,2.410526046184867,2.9772308984848244,2.7517526422698357,2.786599148622322,1,1,1
871,2.6560492839004617,2.46414010423252,2.7617372309623365,2.5487817933922448,2.592548007421391,1,1,1
872,2.6033685236869584,2.416758897829467,2.869327883565967,2.6729212275940006,2.7017669331995666,1,1,1
873,2.753145558774904,2.5558063414705976,2.818762101968427,2.6032209736141794,2.6265396645123174,1,1,1
874,2.668056072406582,2.4752114319772773,2.774278735053822,2.558598100633063,2.5937491069985623,1,1,1
875,2.627276536288072,2.404078862563184,2.6994617955666165,2.4787129189295123,2.5209746486806446,1,1,1
876,2.7174609602907966,2.5121697128922253,2.8227952889707066,2.601335801831919,2.6353914045424407,1,1,1
877,2.678229429664393,2.4590644071173817,2.6618591851141784,2.4134610952860625,2.4576669476415756,1,1,0
878,2.7100689522567536,2.521597150644092,2.8941530358423986,2.6724865107083047,2.7106881123077575,1,1,1
879,2.706826011454294,2.4849231260321805,2.868579937474556,2.643513033634984,2.677170092422775,1,1,1
880,2.764623504382668,2.552597649486562,2.8683220825445246,2.649350033304827,2.681859052594499,1,1,1
881,2.812678385159075,2.5964072728494787,2.834713354424125,2.61545903139677,2.6459473402487,1,1,1
882,2.6310738051646276,2.408769794430271,2.5948643600536863,2.3909235087838048,2.426774567544865,1,1,1
883,2.7007721651609633,2.4924958484110316,2.8305321806807724,2.6307802951297994,2.671499073586137,1,1,1
884,2.840849745004909,2.631190381768499,2.940365622630082,2.744655182977807,2.779348830431946,1,1,1
885,2.571600054711192,2.366774042932785,2.8359181652476333,2.624697539734068,2.6563967334496645,1,1,1
886,2.5863938694308852,2.370607421687823,2.8176446913997473,2.613183534867034,2.6479270025348276,1,1,1
887,2.631521820335794,2.417751987669324,2.7891343810815776,2.588338683722477,2.6244787138175014,1,1,1
888,2.5961852149758857,2.3828800550100158,2.654096196001211,2.4578363595777004,2.493373967912139,1,1,1
889,2.76461270984052,2.5647068972723,2.867513767453021,2.6415333437804196,2.6834920263763133,1,1,1
890,2.9319574890425235,2.7466946103698726,2.925790770021175,2.717611677753158,2.7529524648523123,1,1,1
891,2.598861601742548,2.403901063681688,2.7455998422706056,2.5327939619818585,2.5788943807894684,1,1,1
892,2.7264048848728635,2.4935121337772936,2.9360340534478695,2.727080253900071,2.7537058059930186,1,1,1
893,2.6482750593731716,2.4632166939023477,2.9731977276579555,2.7617675255784637,2.8007575698701928,1,1,1
894,2.902432602635725,2.669728824159999,2.887746988996265,2.6815487577907295,2.7220023020235553,1,1,1
895,2.9302065714713548,2.709059041650874,2.891380961630155,2.6860064950168696,2.724829426982788,1,1,1
